Unit ID,Firm Name,Owner Name,Location
26,Timber Traders,Rajiv Kumar,Hoshiarpur
63,Khullar Trading Company,Bimal Rai Khullar,Hoshiarpur
116,Harbhajan Saw Mill ,Harbhajan Singh,Hoshiarpur
127,Shamsher Saw Mill,Shamsher Singh,Hoshiarpur
128,Thakur Saw Mill,Vishal Singh,Hoshiarpur
138,K.K. Crafts,Kunal Khullar,Hoshiarpur
139,K.K. Crafts,Kunal Khullar,Hoshiarpur
153,Sohan Lal Saw Mill,Ram Singh,Hoshiarpur
156,Sohan Lal Saw Mill,Ram Singh,Hoshiarpur
162,HARMAN SAW MILLS,HARMESH LAL,Hoshiarpur
163,Palwinder Singh Fauji Saw Mills,N/A,Hoshiarpur
164,Palwinder Singh Fauji Saw Mills,Sukhvinder Singh,Hoshiarpur
169,Ram Ditta Saw Mill,Ram Ditta,Hoshiarpur
178,Gurdeep Singh Saw Mill,Gurdeep Singh,Hoshiarpur
179,Shami Vaneer,Sham Saroop,Hoshiarpur
185,Hardev Saw Mill,Hardev Singh,Hoshiarpur
196,M.L Katha Udyog,Mohan Lal ,Hoshiarpur
201,MUSTAQ SAW MILL,MUSTAQ MOHAMMAD,Hoshiarpur
204,KULDEEP SAW MILL,KULDEEP SINGH,Hoshiarpur
205,RAHUL JASWAL SAW MILL,RAHUL JASWAL,Hoshiarpur
217,Thakur Traders,Satvir Singh,Hoshiarpur
221,M/S Bhupinderpal Singh Saw Mill,Bhupinderpal Singh,Hoshiarpur
249,MOHINDRA SAW MILLS,BALWANT SINGH,Hoshiarpur
348,Gursharan Saw Mills,HARINDER SINGH,Hoshiarpur
352,Satpal Saw Mill,Satpal Singh,Hoshiarpur
366,MANOHAR SAW MILL,MANOHAR SINGH,Hoshiarpur
379,JAGDISH SAW MILL,JAGDISH SINGH,Hoshiarpur
392,Naresh Saw Mill,Naresh kumar,Hoshiarpur
519,HARMAN SAW MILL,HARMESH LAL,Hoshiarpur
524,Badwal Timber Store,Surinder Singh,Hoshiarpur
525,Badwal Timber Store,Surinder Singh,Hoshiarpur
559,Paramjeet Singh ,Paramjeet Singh,Hoshiarpur
571,Balvir Singh Saw Mill,Balvir Singh,Hoshiarpur
572,Balvir Singh Saw Mill,Balvir Singh,Hoshiarpur
594,S.S.Timber Traders,Surjit Singh,Hoshiarpur
604,Khakh Saw mill,Kuldip Singh,Hoshiarpur
609,MEHNGA NASIB SAW MILL,GIAN SINGH,Hoshiarpur
639,RAVINDER BHOGAL SAW MILLS,RAVINDER SINGH,Hoshiarpur
642,SIMRAN TRADERS,JASWINDER SINGH,Hoshiarpur
1629,Simran Traders,JASWINDER SINGH,Hoshiarpur
1654,MOUJDIN SAW MILL,MOUJ DIN,Hoshiarpur
1674,Bhatia Saw & Floor Mill,ROHIT BHATIA,Hoshiarpur
2684,MD SAW MILL,RESHMA,Hoshiarpur
2706,ANAS FIRE WOOD WORK,JULEKHA KHATUN,Hoshiarpur
